date_operation,libelle,montant,solde_avt_ope,categ,type,tranche_depense,sens,annee,mois,jour,jour_sem,jour_sem_num,weekend,quart_mois
2023-03-31,DON,-1.44,1515.2499999999982,AUTRE,DON,petite,debit,2023,3,31,<bound method Timestamp.day_name of Timestamp('2023-03-31 00:00:00')>,5,False,4
2023-04-03,CARTE   RAPT,-24.0,1513.8099999999981,TRANSPORT,CARTE,petite,debit,2023,4,3,<bound method Timestamp.day_name of Timestamp('2023-04-03 00:00:00')>,1,False,1
2023-04-03,CARTE   RAPT,-73.0,1489.8099999999981,TRANSPORT,CARTE,petite,debit,2023,4,3,<bound method Timestamp.day_name of Timestamp('2023-04-03 00:00:00')>,1,False,1
2023-04-03,CARTE,-14.39,1416.8099999999981,AUTRE,CARTE,petite,debit,2023,4,3,<bound method Timestamp.day_name of Timestamp('2023-04-03 00:00:00')>,1,False,1
2023-04-03,VIREMENT,4.8,1402.419999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,3,<bound method Timestamp.day_name of Timestamp('2023-04-03 00:00:00')>,1,False,1
2023-04-03,VIREMENT,676.0,1407.219999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,3,<bound method Timestamp.day_name of Timestamp('2023-04-03 00:00:00')>,1,False,1
2023-04-05,PRELEVEMENT  TELEPHONE,-7.02,2083.219999999998,FACTURE TELEPHONE,AUTRE,petite,debit,2023,4,5,<bound method Timestamp.day_name of Timestamp('2023-04-05 00:00:00')>,3,False,1
2023-04-05,CARTE,-15.2,2076.199999999998,AUTRE,CARTE,petite,debit,2023,4,5,<bound method Timestamp.day_name of Timestamp('2023-04-05 00:00:00')>,3,False,1
2023-04-05,CARTE   LES ANCIENS ROBINSON,-6.8,2060.999999999998,COURSES,CARTE,petite,debit,2023,4,5,<bound method Timestamp.day_name of Timestamp('2023-04-05 00:00:00')>,3,False,1
2023-04-05,CARTE,-12.0,2054.199999999998,AUTRE,CARTE,petite,debit,2023,4,5,<bound method Timestamp.day_name of Timestamp('2023-04-05 00:00:00')>,3,False,1
2023-04-06,FORFAIT COMPTE SUPERBANK,-1.84,2042.199999999998,COTISATION BANCAIRE,AUTRE,petite,debit,2023,4,6,<bound method Timestamp.day_name of Timestamp('2023-04-06 00:00:00')>,4,False,1
2023-04-07,VIREMENT,992.8,2040.359999999998,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,7,<bound method Timestamp.day_name of Timestamp('2023-04-07 00:00:00')>,5,False,1
2023-04-10,CARTE   VELOC,-2.7,3033.159999999998,TRANSPORT,CARTE,petite,debit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-10,CARTE   LES ANCIENS ROBINSON,-42.42,3030.4599999999978,COURSES,CARTE,petite,debit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-10,CARTE,-1.6,2988.0399999999977,AUTRE,CARTE,petite,debit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-10,CARTE,-20.64,2986.439999999998,AUTRE,CARTE,petite,debit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-10,CARTE,-6.0,2965.799999999998,AUTRE,CARTE,petite,debit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-10,CARTE   CHEZ LUC,-12.42,2959.799999999998,RESTAURANT,CARTE,petite,debit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-10,CARTE,-84.4,2947.379999999998,AUTRE,CARTE,moyenne,debit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-10,VIREMENT,1.6,2862.9799999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-10,CARTE,-24.0,2864.5799999999977,AUTRE,CARTE,petite,debit,2023,4,10,<bound method Timestamp.day_name of Timestamp('2023-04-10 00:00:00')>,1,False,2
2023-04-11,VIREMENT,836.0,2840.5799999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,11,<bound method Timestamp.day_name of Timestamp('2023-04-11 00:00:00')>,2,False,2
2023-04-11,CARTE,-7.56,3676.5799999999977,AUTRE,CARTE,petite,debit,2023,4,11,<bound method Timestamp.day_name of Timestamp('2023-04-11 00:00:00')>,2,False,2
2023-04-11,VIREMENT,869.44,3669.0199999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,11,<bound method Timestamp.day_name of Timestamp('2023-04-11 00:00:00')>,2,False,2
2023-04-11,CARTE,-48.0,4538.459999999997,AUTRE,CARTE,petite,debit,2023,4,11,<bound method Timestamp.day_name of Timestamp('2023-04-11 00:00:00')>,2,False,2
2023-04-12,CARTE,-28.96,4490.459999999997,AUTRE,CARTE,petite,debit,2023,4,12,<bound method Timestamp.day_name of Timestamp('2023-04-12 00:00:00')>,3,False,2
2023-04-13,,-280.0,4461.499999999998,AUTRE,AUTRE,grosse,debit,2023,4,13,<bound method Timestamp.day_name of Timestamp('2023-04-13 00:00:00')>,4,False,2
2023-04-14,CARTE,-0.8,4181.499999999998,AUTRE,CARTE,petite,debit,2023,4,14,<bound method Timestamp.day_name of Timestamp('2023-04-14 00:00:00')>,5,False,2
2023-04-14,CARTE   CHEZ LUC,-8.8,4180.699999999997,RESTAURANT,CARTE,petite,debit,2023,4,14,<bound method Timestamp.day_name of Timestamp('2023-04-14 00:00:00')>,5,False,2
2023-04-14,CARTE,-1.6,4171.899999999998,AUTRE,CARTE,petite,debit,2023,4,14,<bound method Timestamp.day_name of Timestamp('2023-04-14 00:00:00')>,5,False,2
2023-04-15,VIREMENT PERMANENT LOYER,-345.0,4170.299999999997,LOYER,VIREMENT,grosse,debit,2023,4,15,<bound method Timestamp.day_name of Timestamp('2023-04-15 00:00:00')>,6,False,2
2023-04-18,CARTE   VELOC,-1.7,3825.2999999999975,TRANSPORT,CARTE,petite,debit,2023,4,18,<bound method Timestamp.day_name of Timestamp('2023-04-18 00:00:00')>,2,False,3
2023-04-18,RETRAIT,-24.0,3823.5999999999976,AUTRE,RETRAIT,petite,debit,2023,4,18,<bound method Timestamp.day_name of Timestamp('2023-04-18 00:00:00')>,2,False,3
2023-04-18,CARTE,-8.72,3799.5999999999976,AUTRE,CARTE,petite,debit,2023,4,18,<bound method Timestamp.day_name of Timestamp('2023-04-18 00:00:00')>,2,False,3
2023-04-18,CARTE,-10.32,3790.879999999998,AUTRE,CARTE,petite,debit,2023,4,18,<bound method Timestamp.day_name of Timestamp('2023-04-18 00:00:00')>,2,False,3
2023-04-18,VIREMENT,1.6,3780.5599999999977,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,18,<bound method Timestamp.day_name of Timestamp('2023-04-18 00:00:00')>,2,False,3
2023-04-18,CARTE,-74.58,3782.1599999999976,AUTRE,CARTE,petite,debit,2023,4,18,<bound method Timestamp.day_name of Timestamp('2023-04-18 00:00:00')>,2,False,3
2023-04-19,CARTE,-13.6,3707.5799999999977,AUTRE,CARTE,petite,debit,2023,4,19,<bound method Timestamp.day_name of Timestamp('2023-04-19 00:00:00')>,3,False,3
2023-04-20,CARTE,-7.2,3693.9799999999977,AUTRE,CARTE,petite,debit,2023,4,20,<bound method Timestamp.day_name of Timestamp('2023-04-20 00:00:00')>,4,False,3
2023-04-21,CARTE   L'EPICERIE DEMBAS,-10.43,3686.779999999998,AUTRE,CARTE,petite,debit,2023,4,21,<bound method Timestamp.day_name of Timestamp('2023-04-21 00:00:00')>,5,False,3
2023-04-24,CARTE,-7.84,3676.349999999998,AUTRE,CARTE,petite,debit,2023,4,24,<bound method Timestamp.day_name of Timestamp('2023-04-24 00:00:00')>,1,False,3
2023-04-24,CARTE,-11.64,3668.509999999998,AUTRE,CARTE,petite,debit,2023,4,24,<bound method Timestamp.day_name of Timestamp('2023-04-24 00:00:00')>,1,False,3
